season,week,team,arm,team_game,actual_team_targets,pred_team_targets,budget_error,budget_crps
2022,3,NE,Q8_BUDGET_SHRINK,2022-3-NE,32,30.4505,-1.5495,2.02214
2022,3,NO,BASELINE,2022-3-NO,39,33.4915,-5.5085,3.45766
2022,3,NO,Q8_BUDGET_SHRINK,2022-3-NO,39,33.52,-5.48,3.53775
2022,3,NYG,BASELINE,2022-3-NYG,32,33.4915,1.4915,1.95106
2022,3,NYG,Q8_BUDGET_SHRINK,2022-3-NYG,32,33.52,1.52,1.88242
2022,3,NYJ,BASELINE,2022-3-NYJ,48,35.8421,-12.1579,8.11559
2022,3,NYJ,Q8_BUDGET_SHRINK,2022-3-NYJ,48,35.0579,-12.9421,8.58601
2022,3,PHI,BASELINE,2022-3-PHI,34,27.7895,-6.2105,3.66441
2022,3,PHI,Q8_BUDGET_SHRINK,2022-3-PHI,34,29.7893,-4.2107,2.64048
2022,3,PIT,BASELINE,2022-3-PIT,32,39.2571,7.2571,4.22418
2022,3,PIT,Q8_BUDGET_SHRINK,2022-3-PIT,32,37.2923,5.2923,3.16154
2022,3,SEA,BASELINE,2022-3-SEA,44,30.5143,-13.4857,9.28596
2022,3,SEA,Q8_BUDGET_SHRINK,2022-3-SEA,44,31.5721,-12.4279,8.35671
2022,3,SF,BASELINE,2022-3-SF,29,31.4571,2.4571,2.06964
2022,3,SF,Q8_BUDGET_SHRINK,2022-3-SF,29,32.189,3.189,2.29094
2022,3,TB,BASELINE,2022-3-TB,40,33.4915,-6.5085,4.22884
2022,3,TB,Q8_BUDGET_SHRINK,2022-3-TB,40,33.52,-6.48,4.19298
2022,3,TEN,BASELINE,2022-3-TEN,26,29.8286,3.8286,2.73855
2022,3,TEN,Q8_BUDGET_SHRINK,2022-3-TEN,26,31.1234,5.1234,3.34806
2022,3,WAS,BASELINE,2022-3-WAS,42,34.0571,-7.9429,5.01907
2022,3,WAS,Q8_BUDGET_SHRINK,2022-3-WAS,42,33.8901,-8.1099,5.30679
2022,4,ARI,BASELINE,2022-4-ARI,31,34.8056,3.8056,2.59747
2022,4,ARI,Q8_BUDGET_SHRINK,2022-4-ARI,31,34.3798,3.3798,2.45858
2022,4,ATL,BASELINE,2022-4-ATL,18,31.5,13.5,8.54133
2022,4,ATL,Q8_BUDGET_SHRINK,2022-4-ATL,18,32.217,14.217,9.29043
2022,4,BAL,BASELINE,2022-4-BAL,28,29.6667,1.6667,2.18951
2022,4,BAL,Q8_BUDGET_SHRINK,2022-4-BAL,28,31.0175,3.0175,2.55668
2022,4,BUF,BASELINE,2022-4-BUF,34,36.7222,2.7222,2.15579
2022,4,BUF,Q8_BUDGET_SHRINK,2022-4-BUF,34,35.6338,1.6338,1.87834
2022,4,CAR,BASELINE,2022-4-CAR,36,32.75,-3.25,2.53249
2022,4,CAR,Q8_BUDGET_SHRINK,2022-4-CAR,36,33.0349,-2.9651,2.41386
2022,4,CHI,BASELINE,2022-4-CHI,20,33.4915,13.4915,9.29179
2022,4,CHI,Q8_BUDGET_SHRINK,2022-4-CHI,20,33.52,13.52,9.23566
2022,4,CIN,BASELINE,2022-4-CIN,32,34.1389,2.1389,2.00133
2022,4,CIN,Q8_BUDGET_SHRINK,2022-4-CIN,32,33.9436,1.9436,1.91072
2022,4,CLE,BASELINE,2022-4-CLE,35,29.2778,-5.7222,3.29098
2022,4,CLE,Q8_BUDGET_SHRINK,2022-4-CLE,35,30.7631,-4.2369,2.72414
2022,4,DAL,BASELINE,2022-4-DAL,26,37.6389,11.6389,7.88513
2022,4,DAL,Q8_BUDGET_SHRINK,2022-4-DAL,26,36.2335,10.2335,6.85013
2022,4,DEN,BASELINE,2022-4-DEN,24,33.4915,9.4915,5.56669
2022,4,DEN,Q8_BUDGET_SHRINK,2022-4-DEN,24,33.52,9.52,5.59662
2022,4,DET,BASELINE,2022-4-DET,39,33.65,-5.35,3.62182
2022,4,DET,Q8_BUDGET_SHRINK,2022-4-DET,39,33.6237,-5.3763,3.56194
2022,4,GB,BASELINE,2022-4-GB,32,32.3611,0.3611,1.69721
