game,market,player,displayed_selection,team,position,line_0452Z,over_0452Z,under_0452Z,line_1635Z,over_1635Z,under_1635Z,selection_price_0452Z,selection_price_1635Z,market_status_1635Z,book_line_timestamp_1635Z,retrieved_0452Z,retrieved_1635Z,delta_status
CAR@ATL,Player Longest Rush,Jonathon Brooks,Jonathon Brooks,CAR,RB,8.5,-120,-110,8.5,-120,-110,,,open_two_sided,2026-09-20T08:36:50.825456Z,2026-09-20T04:52:14Z,2026-09-20T16:35:46Z,UNCHANGED
CAR@ATL,Player Passing Attempts,Bryce Young,Bryce Young,CAR,QB,31.5,-110,-120,31.5,-110,-120,,,open_two_sided,2026-09-18T16:48:06.793921Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,UNCHANGED
CAR@ATL,Player Passing Attempts,Cooper Rush,Cooper Rush,ATL,QB,29.5,-115,-115,29.5,-115,-115,,,open_two_sided,2026-09-20T03:55:38.664629Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,UNCHANGED
CAR@ATL,Player Passing Completions,Bryce Young,Bryce Young,CAR,QB,19.5,-125,-105,19.5,-120,-110,,,open_two_sided,2026-09-20T08:34:50.658472Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Passing Completions,Cooper Rush,Cooper Rush,ATL,QB,17.5,-110,-120,17.5,-115,-115,,,open_two_sided,2026-09-20T13:26:06.153537Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Passing Touchdowns,Bryce Young,Bryce Young,CAR,QB,1.5,110,-145,1.5,110,-140,,,open_two_sided,2026-09-20T10:01:36.109540Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,CHANGED(under_price)
CAR@ATL,Player Passing Touchdowns,Cooper Rush,Cooper Rush,ATL,QB,0.5,-275,190,1.5,185,-275,,,open_two_sided,2026-09-20T14:13:05.599316Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,"CHANGED(line,over_price,under_price)"
CAR@ATL,Player Passing Yards,Bryce Young,Bryce Young,CAR,QB,222.5,-115,-115,,,,,,NOT_RETURNED,,2026-09-20T04:52:04Z,,REMOVED_SINCE_0452Z
CAR@ATL,Player Passing Yards,Cooper Rush,Cooper Rush,ATL,QB,182.5,-115,-115,181.5,-115,-115,,,open_two_sided,2026-09-20T08:35:51.121610Z,2026-09-20T04:52:04Z,2026-09-20T16:35:31Z,CHANGED(line)
CAR@ATL,Player Receiving Yards,Bijan Robinson,Bijan Robinson,ATL,RB,43.5,-115,-115,42.5,-115,-115,,,open_two_sided,2026-09-20T13:33:36.022619Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,CHANGED(line)
CAR@ATL,Player Receiving Yards,Chuba Hubbard,Chuba Hubbard,CAR,RB,12.5,-115,-115,12.5,-120,-110,,,open_two_sided,2026-09-20T15:45:07.162705Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,"CHANGED(over_price,under_price)"
CAR@ATL,Player Receiving Yards,Darren Waller,Darren Waller,CAR,TE,16.5,-120,-110,16.5,-120,-110,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
CAR@ATL,Player Receiving Yards,Drake London,Drake London,ATL,WR,56.5,-115,-115,56.5,-115,-115,,,open_two_sided,2026-09-20T13:32:05.903058Z,2026-09-20T04:52:08Z,2026-09-20T16:35:34Z,UNCHANGED
