season,week,game_id,gsis_id,unit,condition,opportunity_error,efficiency_error,combined_error,same_sign_or_offsetting,predicted_attempts,actual_attempts,predicted_ypa,actual_ypa,predicted_yards,actual_yards
2022,5,2022_05_LAC_CLE,00-0033119,QB,COMPOSED,-10.0,-0.529877,-80.36412,SAME_SIGN,24.0,34,6.23483,6.76471,149.6359,230
2022,5,2022_05_LAC_CLE,00-0036355,QB,COMPOSED,8.125,0.672985,82.83481,SAME_SIGN,42.125,34,7.37887,6.70588,310.8348,228
2022,5,2022_05_LV_KC,00-0033873,QB,COMPOSED,-6.0,0.991969,-2.12335,OFFSETTING,38.0,44,7.62833,6.63636,289.8767,292
2022,5,2022_05_LV_KC,00-0031280,QB,COMPOSED,5.75,-0.381876,32.53961,OFFSETTING,35.75,30,7.65146,8.03333,273.5396,241
2022,5,2022_05_MIA_NYJ,00-0031237,QB,COMPOSED,23.5,7.384346,180.91648,SAME_SIGN,24.5,1,7.38435,0.0,180.9165,0
2022,5,2022_05_MIA_NYJ,00-0037327,QB,COMPOSED,-5.44944,2.416233,39.15626,OFFSETTING,27.5506,33,7.44654,5.0303,205.1563,166
2022,5,2022_05_MIA_NYJ,00-0037013,QB,COMPOSED,8.75,-3.5677,-18.63908,OFFSETTING,29.75,21,6.4323,10.0,191.3609,210
2022,5,2022_05_NYG_GB,00-0023459,QB,COMPOSED,-7.75,2.176901,23.91278,OFFSETTING,31.25,39,7.86921,5.69231,245.9128,222
2022,5,2022_05_NYG_GB,00-0035710,QB,COMPOSED,1.25,-1.376255,-28.83292,OFFSETTING,28.25,27,6.66078,8.03704,188.1671,217
2022,5,2022_05_PHI_ARI,00-0035228,QB,COMPOSED,2.5,0.992635,57.812,SAME_SIGN,42.5,40,7.24264,6.25,307.812,250
2022,5,2022_05_PHI_ARI,00-0036389,QB,COMPOSED,-6.625,0.900971,-17.51662,OFFSETTING,29.375,36,7.53986,6.63889,221.4834,239
2022,5,2022_05_PIT_BUF,00-0028986,QB,COMPOSED,9.0,5.007186,84.5006,SAME_SIGN,14.0,5,6.60719,1.6,92.5006,8
2022,5,2022_05_PIT_BUF,00-0034857,QB,COMPOSED,9.125,-6.338239,-129.51541,OFFSETTING,40.125,31,7.33918,13.67742,294.4846,424
2022,5,2022_05_PIT_BUF,00-0038102,QB,COMPOSED,-39.0,1.514922,-225.55602,OFFSETTING,13.0,52,7.80338,6.28846,101.444,327
2022,5,2022_05_SEA_NO,00-0027973,QB,COMPOSED,4.625,-1.104744,4.41316,OFFSETTING,28.625,24,6.68692,7.79167,191.4132,187
2022,5,2022_05_SEA_NO,00-0033357,QB,COMPOSED,15.375,-14.481544,101.11472,OFFSETTING,16.375,1,7.51846,22.0,123.1147,22
2022,5,2022_05_SEA_NO,00-0030565,QB,COMPOSED,2.25,-2.705761,-53.24544,OFFSETTING,28.25,26,7.60193,10.30769,214.7546,268
2022,5,2022_05_SF_CAR,00-0033275,QB,COMPOSED,8.75,-3.566261,34.89765,OFFSETTING,14.75,6,6.43374,10.0,94.8976,60
2022,5,2022_05_SF_CAR,00-0034855,QB,COMPOSED,-3.25,1.238978,21.1668,OFFSETTING,32.75,36,7.2112,5.97222,236.1668,215
2022,5,2022_05_SF_CAR,00-0031345,QB,COMPOSED,-0.375,-0.181023,-8.52531,SAME_SIGN,29.625,30,8.25231,8.43333,244.4747,253
2022,5,2022_05_TEN_WAS,00-0029701,QB,COMPOSED,1.375,0.240202,16.29034,SAME_SIGN,26.375,25,7.4802,7.24,197.2903,181
2022,5,2022_05_TEN_WAS,00-0032950,QB,COMPOSED,-3.75,-2.993428,-137.95253,SAME_SIGN,34.25,38,6.45394,9.44737,221.0475,359
2022,6,2022_06_ARI_SEA,00-0035228,QB,COMPOSED,5.25,1.214247,82.80194,SAME_SIGN,42.25,37,7.21425,6.0,304.8019,222
2022,6,2022_06_ARI_SEA,00-0030565,QB,COMPOSED,-1.625,1.44256,32.04858,OFFSETTING,29.375,31,7.7974,6.35484,229.0486,197
2022,6,2022_06_BAL_NYG,00-0034796,QB,COMPOSED,-4.125,0.844241,-3.53711,OFFSETTING,27.875,32,7.40674,6.5625,206.4629,210
2022,6,2022_06_BAL_NYG,00-0035710,QB,COMPOSED,0.625,0.287694,11.95217,SAME_SIGN,27.625,27,6.6951,6.40741,184.9522,173
2022,6,2022_06_BUF_KC,00-0034857,QB,COMPOSED,-0.25,-0.760675,-32.29309,SAME_SIGN,39.75,40,7.46432,8.225,296.7069,329
2022,6,2022_06_BUF_KC,00-0033873,QB,COMPOSED,-2.5,-0.849065,-52.96494,SAME_SIGN,37.5,40,7.60093,8.45,285.0351,338
2022,6,2022_06_CAR_LA,00-0033275,QB,COMPOSED,-1.0,2.786064,38.04096,OFFSETTING,15.0,16,6.53606,3.75,98.041,60
2022,6,2022_06_CAR_LA,00-0036226,QB,COMPOSED,0.0,-4.842771,-24.21385,ZERO_COMPONENT,5.0,5,6.95723,11.8,34.7861,59
2022,6,2022_06_CAR_LA,00-0026498,QB,COMPOSED,4.125,0.092273,35.05064,SAME_SIGN,37.125,33,7.75894,7.66667,288.0506,253
2022,6,2022_06_CIN_NO,00-0036442,QB,COMPOSED,-0.375,-0.194127,-10.26457,SAME_SIGN,37.625,38,7.70061,7.89474,289.7354,300
2022,6,2022_06_CIN_NO,00-0027973,QB,COMPOSED,-1.75,1.658946,41.32374,OFFSETTING,30.25,32,6.72145,5.0625,203.3237,162
2022,6,2022_06_CIN_NO,00-0033357,QB,COMPOSED,12.125,3.566549,106.0106,SAME_SIGN,16.125,4,7.56655,4.0,122.0106,16
2022,6,2022_06_DAL_PHI,00-0033662,QB,COMPOSED,-22.5,2.851255,-62.9766,OFFSETTING,15.5,38,7.61441,4.76316,118.0234,181
2022,6,2022_06_DAL_PHI,00-0036389,QB,COMPOSED,5.125,1.301228,70.9745,SAME_SIGN,30.125,25,7.50123,6.2,225.9745,155
2022,6,2022_06_DEN_LAC,00-0029263,QB,COMPOSED,3.625,0.850789,51.24549,SAME_SIGN,31.625,28,7.56507,6.71429,239.2455,188
2022,6,2022_06_DEN_LAC,00-0036355,QB,COMPOSED,-15.375,3.189375,68.56035,OFFSETTING,41.625,57,7.36481,4.17544,306.5603,238
