player,team,position,role,metric,mean,median,q10,q25,q50,q75,q90,sd,p_opportunity_ge_1,forecast_stage,model_health,data_completeness,upstream_blockers,n_draws,written_at,run_id
Emari Demercado,DAL,RB,RB2,rushing/carries,3.5165,1.9319,0.0,0.0,1.9319,5.3705,9.7705,4.7485,0.5424,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Hunter Luepke,DAL,RB,FB1,receiving/receptions,0.8709,0.0,0.0,0.0,0.0,1.0,3.0,1.5933,0.383,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Hunter Luepke,DAL,RB,FB1,receiving/targets,1.0938,0.0,0.0,0.0,0.0,2.0,4.0,1.9345,0.383,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Hunter Luepke,DAL,RB,FB1,rushing/carries,1.812,0.0,0.0,0.0,0.0,2.2465,5.6164,3.3911,0.3711,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Devin Singletary,NYG,RB,RB4,receiving/receptions,0.6914,0.0,0.0,0.0,0.0,1.0,2.0,1.1546,0.4118,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Devin Singletary,NYG,RB,RB4,receiving/targets,0.8729,0.0,0.0,0.0,0.0,1.0,3.0,1.3839,0.4118,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Devin Singletary,NYG,RB,RB4,rushing/carries,2.9928,2.7123,0.0,0.0,2.7123,4.6403,6.6334,2.8008,0.6847,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Patrick Ricard,NYG,RB,FB1,receiving/receptions,0.3801,0.0,0.0,0.0,0.0,0.0,1.0,0.8359,0.2819,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Patrick Ricard,NYG,RB,FB1,receiving/targets,0.5327,0.0,0.0,0.0,0.0,1.0,2.0,1.0776,0.2819,PRE_INACTIVES,CLEAN,PARTIAL_PLAYER_COVERAGE,,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
Patrick Ricard,NYG,RB,FB1,rushing/carries,0.7268,0.0,0.0,0.0,0.0,0.8728,2.5238,1.4254,0.2323,PRE_INACTIVES,MODEL_HEALTH_WARNING,PARTIAL_PLAYER_COVERAGE,CARRY_ALLOCATION_HEALTH_WARNING,8000,2026-09-13T23:12:33Z,3dddf9f62c9260b0
