slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
425,2026_01_GB_MIN,Aaron Jones Sr.,MIN,Receptions,,,,2.5,-120,-110,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Justin Jefferson,MIN,Receptions,,,,5.5,-150,+115,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jordan Addison,MIN,Receptions,,,,3.5,+100,-130,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,T.J. Hockenson,MIN,Receptions,,,,3.5,+120,-155,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Jauan Jennings,MIN,Receptions,,,,2.5,+140,-185,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_GB_MIN,Josh Oliver,MIN,Receptions,,,,0.5,-230,+165,,,,,,,,,,2026-09-13T18:13:12.712Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Passing Yards,,,,205.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Passing Yards,,,,180.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Passing TDs,,,,0.5,-225,+165,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Passing TDs,,,,1.5,+135,-180,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Interceptions,,,,0.5,-125,-105,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Interceptions,,,,0.5,-105,-125,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Pass Completions,,,,17.5,-115,-115,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Pass Completions,,,,19.5,-120,-110,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Pass Attempts,,,,26.5,-110,-120,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Pass Attempts,,,,29.5,-110,-120,,,,,,,,,,2026-09-13T18:12:22.159Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Ashton Jeanty,LV,Rushing Yards,,,,61.5,-115,-115,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,De'Von Achane,MIA,Rushing Yards,,,,70.5,-115,-115,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Kirk Cousins,LV,Rushing Yards,,,,0.5,+120,-160,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Rushing Yards,,,,40.5,-110,-120,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Mike Washington Jr.,LV,Rushing Yards,,,,30.5,-115,-115,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Willis,MIA,Rushing Attempts,,,,6.5,-125,-105,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,De'Von Achane,MIA,Rushing Attempts,,,,15.5,-115,-115,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Ashton Jeanty,LV,Rushing Attempts,,,,14.5,-105,-125,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Mike Washington Jr.,LV,Rushing Attempts,,,,7.5,-110,-120,,,,,,,,,,2026-09-13T18:12:35.361Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Ashton Jeanty,LV,Receiving Yards,,,,17.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Caleb Douglas,MIA,Receiving Yards,,,,27.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Chris Bell,MIA,Receiving Yards,,,,18.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,De'Von Achane,MIA,Receiving Yards,,,,27.5,-120,-110,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Greg Dulcich,MIA,Receiving Yards,,,,26.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Jack Bech,LV,Receiving Yards,,,,18.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Jalen Nailor,LV,Receiving Yards,,,,37.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Jalen Tolbert,MIA,Receiving Yards,,,,11.5,-110,-120,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Washington,MIA,Receiving Yards,,,,27.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Michael Mayer,LV,Receiving Yards,,,,40.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Tre Tucker,LV,Receiving Yards,,,,46.5,-115,-115,,,,,,,,,,2026-09-13T18:12:48.285Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Greg Dulcich,MIA,Receptions,,,,2.5,-115,-115,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Malik Washington,MIA,Receptions,,,,2.5,-160,+120,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,De'Von Achane,MIA,Receptions,,,,4.5,+125,-165,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Caleb Douglas,MIA,Receptions,,,,2.5,+125,-160,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Chris Bell,MIA,Receptions,,,,1.5,-160,+120,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Jalen Tolbert,MIA,Receptions,,,,1.5,+140,-190,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
425,2026_01_MIA_LV,Tre Tucker,LV,Receptions,,,,4.5,+115,-150,,,,,,,,,,2026-09-13T18:12:58.406Z,REFUSED,REFUSED,REFUSED:OUTCOME_NOT_PUBLISHED
