slate,game_id,player,team,market,metric,model_mean,model_median,hardrock_line,over_odds,under_odds,model_p_over_exact_line,model_p_under_exact_line,hardrock_novig_p_over,hardrock_novig_p_under,selected_side,probability_gap_pp,actual,actual_basis,absence_class,result,model_written_at,hardrock_retrieved_at,data_status,stratum,refusal_reason
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Interceptions,qb/int,0.288,0.0,0.5,+100,-130,0.221,0.779,0.469388,0.530612,UNDER,24.8388,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Pass Attempts,qb/att,19.201,23.0,31.5,-125,-105,0.309,0.691,0.520305,0.479695,UNDER,21.1305,32.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Pass Completions,qb/cmp,11.763,13.0,19.5,-115,-115,0.287,0.713,0.5,0.5,UNDER,21.3,19.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Passing TDs,qb/ptd,0.641,0.0,1.5,+180,-260,0.165,0.835,0.330882,0.669118,UNDER,16.5882,1.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Passing Yards,qb/pyds,123.5047,123.5788,201.5,-115,-115,0.287,0.713,0.5,0.5,UNDER,21.3,140.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Cam Ward,TEN,Rushing Yards,,,,9.5,-120,-110,,,,,,,,,,,,2026-09-13T16:05:50.678Z,REFUSED,REFUSED,REFUSED:ESTIMAND_NOT_SCOREABLE | qb/ryds has no exact realised match
1PM,2026_01_NYJ_TEN,Carnell Tate,NYJ,Receiving Yards,,,,38.5,-115,-115,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Carnell Tate,NYJ,Receptions,,,,3.5,+110,-140,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Elic Ayomanor,TEN,Receiving Yards,,,,9.5,-115,-115,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Elic Ayomanor,TEN,Receptions,,,,0.5,-210,+155,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Garrett Wilson,NYJ,Receiving Yards,,,,62.5,-115,-115,,,,,,,,,,,,2026-09-13T16:06:04.356Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Garrett Wilson,NYJ,Receptions,,,,5.5,-120,-110,,,,,,,,,,,,2026-09-13T16:03:27.087Z,REFUSED,REFUSED,REFUSED:QUOTE_PLAYER_NOT_ON_BOARD
1PM,2026_01_NYJ_TEN,Geno Smith,NYJ,Interceptions,qb/int,0.41,0.0,0.5,-125,-105,0.301,0.699,0.520305,0.479695,UNDER,21.9305,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Geno Smith,NYJ,Pass Attempts,qb/att,17.258,20.0,30.5,-110,-120,0.277,0.723,0.489879,0.510121,UNDER,21.2879,24.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Geno Smith,NYJ,Pass Completions,qb/cmp,11.813,13.0,19.5,-105,-125,0.33,0.67,0.479695,0.520305,UNDER,14.9695,19.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Geno Smith,NYJ,Passing TDs,qb/ptd,0.766,0.0,0.5,-260,+180,0.428,0.572,0.669118,0.330882,UNDER,24.1118,0.0,OBSERVED,ZERO_IF_ABSENT,WIN,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
1PM,2026_01_NYJ_TEN,Geno Smith,NYJ,Passing Yards,qb/pyds,126.8409,130.3478,210.5,-115,-115,0.283,0.717,0.5,0.5,UNDER,21.7,215.0,OBSERVED,ZERO_IF_ABSENT,LOSS,2026-09-13T16:10:31.941044Z,2026-09-13T16:05:38.445Z,PARTIAL_PLAYER_COVERAGE,CONTAMINATED_QB3,
